nome,categoria,prezzo,tacco,taglie,colore,link
Ballerina casual da donna in pelle liscia colore bianco fatta a mano,Ballerine,€139.00,1,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerina-casual-da-donna-in-pelle-liscia-colore-bianco-fatta-a-mano
Ballerine da donna color nero in pelle scamosciata con strass,Ballerine,€99.00,1,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-da-donna-color-nero-in-pelle-scamosciata-con-strass
Ballerine da donna color celeste in pelle scamosciata con strass,Ballerine,€99.00,1,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-da-donna-color-celeste-in-pelle-scamosciata-con-strass
Ballerine da donna color lilla in pelle scamosciata con strass,Ballerine,€99.00,1,35 36 37 38 39 40 41,Lilla,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-da-donna-color-lilla-in-pelle-scamosciata-con-strass
Ballerine da donna color verde in pelle scamosciata con strass,Ballerine,€99.00,1,35 36 37 38 39 40 41,Verde,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-da-donna-color-verde-in-pelle-scamosciata-con-strass
Ballerine da donna color rosso in pelle scamosciata con strass,Ballerine,€99.00,1,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-da-donna-color-rosso-in-pelle-scamosciata-con-strass
Ballerine da donna celeste in pelle scamosciata con strass,Ballerine,€129.00,1,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-da-donna-celeste-in-pelle-scamosciata-con-strass
Ballerine da donna blu scuro in pelle scamosciata con strass,Ballerine,€129.00,1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-da-donna-blu-sccuro-in-pelle-scamosciata-con-strass
Ballerine color rosso da donna in pelle scamosciata con strass,Ballerine,€129.00,1,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-rosse-da-donna-in-pelle-scamosciata-con-strass
Ballerine da donna marrone chiaro in pelle scamosciata con strass,Ballerine,€129.00,1,35 36 37 38 39 40 41,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-ballerine/products/ballerine-da-donna-marrone-chiaro-in-pelle-scamosciata-con-strass
